,User-ID,Location,Age
465,52044,"atlanta, georgia, usa",46.0
466,52175,"johnstown, pennsylvania, usa",
467,52199,"houston, texas, usa",47.0
468,52350,"lisboa, n/a, portugal",31.0
469,52584,"livermore, california, usa",45.0
470,52614,"toccoa, ga., usa",33.0
471,52853,"yuba city, california, usa",61.0
472,52917,"bellevue, washington, usa",42.0
473,53174,"orlando, florida, usa",29.0
474,53220,"fullerton, california, usa",36.0
475,53241,"hillsborough, new jersey, usa",
476,53256,"sterlington, louisiana, usa",21.0
477,53278,"toronto, ontario, canada",34.0
478,53304,"south burlington, vermont, usa",52.0
479,53418,"puyallup, washington, usa",28.0
480,53456,"ne portland, oregon,",
481,53590,"thalwil, zurich, switzerland",40.0
482,53614,"barreiro, barreiro, portugal",30.0
483,53729,"balingup, western australia, australia",
484,54206,"philadelphia, pennsylvania, usa",24.0
485,54218,"kaiserslautern, rheinland-pfalz, germany",27.0
486,54335,"north haven, connecticut, usa",43.0
487,54622,"kuala lumpur, federal territory, malaysia",
488,54898,"pine beach, new jersey, usa",35.0
489,55027,"burlington, north carolina, usa",44.0
490,55075,"seattle, washington, usa",33.0
491,55097,"greenville, illinois, usa",
492,55142,"austin, texas, usa",47.0
493,55178,"moore, oklahoma, usa",25.0
494,55187,"torrance, california, usa",48.0
495,55438,"lexington, kentucky, usa",42.0
496,55490,"rapid city, south dakota, usa",25.0
497,55492,"antioch, illinois, usa",43.0
498,55493,"chatham, ontario, canada",35.0
499,55548,"chamblee, georgia, usa",
500,55734,"calgary, alberta, canada",37.0
501,55799,"scarborough, ontario, canada",
502,55892,"plantersville, texas, usa",45.0
503,55927,"roscoe, minnesota, usa",17.0
504,56271,"leeds, england, united kingdom",22.0
505,56307,"el segundo, california, usa",
506,56391,"tijeras, nm, usa",40.0
507,56399,"n/a, surrey, united kingdom",63.0
508,56447,"sturgis, michigan, usa",22.0
509,56554,"rural hall, north carolina, usa",39.0
510,56804,"southbridge, canterbury, new zealand",
511,56856,"escondido, california, usa",23.0
512,56959,"monroe twp., new jersey, usa",52.0
513,57006,"lawton, oklahoma, usa",30.0
514,57234,"austin, texas, usa",
515,57255,"cordova, tennessee, usa",
516,57398,"tigard, oregon, usa",39.0
517,57620,"baldwin, ,",
518,57725,"wilmington, delaware, usa",43.0
519,58062,"chicago, illinois, usa",52.0
520,58142,"jonesboro, arkansas, usa",43.0
521,58255,"palmdale, california, usa",14.0
522,58363,"colorado springs, colorado, usa",81.0
523,58458,"peel, isle of man, united kingdom",23.0
524,58482,"norfolk, virginia, usa",
525,58594,"baltimore, maryland, usa",33.0
526,58911,"batavia, new york, usa",58.0
527,58961,"allston, massachusetts, usa",34.0
528,59059,"sarasota, florida, usa",19.0
529,59150,"victoria, british columbia, canada",37.0
530,59172,"owen sound, ontario, canada",36.0
531,59189,"houston, texas, usa",33.0
532,59269,"indianapolis, indiana, usa",
533,59504,"louisville, kentucky, usa",39.0
534,59656,"schnellville, indiana, usa",53.0
535,59727,"plano, texas, usa",24.0
536,59770,"birmingham, alabama, usa",
537,59912,"pasadena, california, usa",27.0
538,59967,"dundee, scotland, united kingdom",28.0
539,59971,"kingwood, texas, usa",27.0
540,60050,"brooklyn, new york, usa",40.0
541,60098,"elizabeth city, north carolina, usa",35.0
542,60244,"alvin, texas, usa",47.0
543,60263,"middletown, delaware, usa",52.0
544,60319,"haddonfield, new jersey, usa",
545,60337,"st. marys, georgia, usa",50.0
546,60427,"basingstoke, england, united kingdom",37.0
547,60569,"chardon, ohio, usa",41.0
548,60583,"antioch, illinois, usa",
549,60621,"edwardsville, illinois, usa",57.0
550,60707,"manchester, new hampshire, usa",38.0
551,60787,"paris, ile de france, france",
552,60858,"sacramento, california, usa",25.0
553,61028,"charleston, south carolina, usa",50.0
554,61038,"riverside public library, illinois, usa",53.0
555,61147,"ebensee, oberoesterreich, austria",44.0
556,61257,"lake placid, florida, usa",25.0
557,61427,"morgan hill, california, usa",
558,61704,"villanova, pennsylvania, usa",58.0
559,61798,"rockville, maryland, usa",
560,61854,"boulder city, nevada, usa",
561,61901,"tucson, arizona, usa",63.0
562,61910,"las cruces, new mexico, usa",44.0
563,62009,"cambridge, massachusetts, usa",
564,62172,"toronto, ontario, canada",19.0
565,62272,"lake mary, florida, usa",30.0
566,62464,"el cajon, california, usa",26.0
567,62558,"rochester, minnesota, usa",
568,62688,"wahiawa, hawaii, usa",31.0
569,62862,"new milford, connecticut, usa",47.0
570,62891,"hi nella, new jersey, usa",27.0
571,62895,"chesterfield, derbyshire, united kingdom",39.0
572,62966,"fairfax, virginia, usa",23.0
573,63394,"eufaula, alabama, usa",22.0
574,63595,"chesapeake, virginia,",41.0
575,63625,"torrance, california, usa",15.0
576,63714,"milton keynes, england, united kingdom",29.0
577,63854,"waterloo, ontario, canada",45.0
578,63956,"emporia, kansas, usa",28.0
579,64241,"colorado springs, colorado, usa",43.0
580,64310,"smyrna, georgia, usa",46.0
581,64436,"san ramon, california, usa",36.0
582,64946,"normal, illinois, usa",34.0
583,65032,"norwood, massachusetts, usa",17.0
584,65258,"saginaw, michigan, usa",42.0
585,65584,"tulsa, oklahoma, usa",26.0
586,65663,"syracuse, new york, usa",32.0
587,66129,"san diego, california, usa",29.0
588,66323,"factoryville, pennsylvania, usa",34.0
589,66574,"astoria, new york, usa",27.0
590,66680,"orange park, florida, usa",67.0
591,66797,"athens, ohio, usa",28.0
592,66878,"fort myers, florida, usa",42.0
593,66942,"kuching, sarawak, malaysia",31.0
594,67198,"denver, colorado, usa",13.0
595,67358,"mrytle beach, south carolina, usa",
596,67403,"danbury, connecticut, usa",31.0
597,67547,"sierra madre, california, usa",42.0
598,67591,"edmonton, alberta,",
599,67627,"kent, ohio, usa",
600,67663,"wrightstown, ,",47.0
601,67775,"chinle, arizona, usa",
602,67840,"houston, texas, usa",50.0
603,68128,"mountain view, california, usa",
604,68156,"brooklyn, new york, usa",34.0
605,68185,"virginia beach, virginia, usa",22.0
606,68249,"la crosse, wisconsin, usa",50.0
607,68383,"studio city, california, usa",35.0
608,68436,"downieville, california, usa",49.0
609,68555,"bad axe, michigan, usa",
610,68760,"northampton, pennsylvania, usa",
611,68943,"coventry, connecticut, usa",
612,68984,"aurora, illinois, usa",26.0
613,69056,"somerville, massachusetts, usa",
614,69078,"new york, new york, usa",42.0
615,69156,"cross plains, wisconsin, usa",31.0
616,69188,"austin, texas, usa",
617,69211,"oviedo, florida, usa",
618,69232,"mooresville, north carolina, usa",55.0
619,69355,"syracuse, new york, usa",
620,69378,"mililani, hawaii, usa",46.0
621,69389,"nebraska city, nebraska, usa",29.0
622,69405,"ede, gelderland, netherlands",36.0
623,69684,"philadelphia, pennsylvania, usa",33.0
624,69697,"west sacramento, california, usa",24.0
625,69709,"san juan capistrano, california, usa",
626,69721,"minneapolis, minnesota, usa",32.0
627,69775,"augusta, maine, usa",41.0
628,69933,"perkasie, pennsylvania, usa",
629,69971,"pinehurst, north carolina, usa",43.0
630,70052,"st. john`s, ontario, canada",30.0
631,70183,"carbonear, newfoundland, canada",25.0
632,70415,"crescent city, florida, usa",57.0
633,70541,"hamburg, hamburg, germany",26.0
634,70594,"prince george, british columbia, canada",53.0
635,70649,"casper, wyoming, usa",31.0
636,70666,"warwick, rhode island, usa",18.0
637,70703,"porto, n/a, portugal",33.0
638,70931,"new haven, connecticut, usa",36.0
639,71102,"glasgow, scotland, united kingdom",23.0
640,71234,"cumberland, maryland, usa",30.0
641,71470,"ottawa, ontario, canada",62.0
642,71490,"west los angeles, california, usa",23.0
643,71587,"herkimer, new york, usa",
644,71712,"valley center, kansas, usa",26.0
645,71853,"somerville, massachusetts, usa",23.0
646,71900,"cleveland, ohio, usa",
647,71902,"oakton, virginia, usa",
648,72190,"durango, colorado, usa",
649,72214,"ottawa, ontario, canada",40.0
650,72352,"samieira, pontevedra, spain",49.0
651,72523,"grand island, new york, usa",
652,72530,"arlington, virginia, usa",42.0
653,72742,"newark, california, usa",
654,72785,"gordonsville, virginia, usa",39.0
655,73044,"sudbury, ontario, canada",
656,73056,"annapolis, maryland, usa",
657,73330,"seattle, washington, usa",29.0
658,73394,"san diego, california, usa",33.0
659,73399,"shah alam, selangor, malaysia",17.0
660,73548,"citrus heights, california, usa",
661,73588,"astoria, new york, usa",38.0
662,73651,"grapevine, texas, usa",
663,73681,"almada, setúbal, portugal",27.0
664,73923,"montrose, california, usa",29.0
665,74026,"san diego, california, usa",21.0
666,74056,"san gabriel, california, usa",24.0
667,74106,"dyersburg, tennessee, usa",64.0
668,74185,"lacey, washington, usa",28.0
